T [s]	V_noisy [V]
0	0.51
0.001	0.45
0.002	0.56
0.003	0.42
0.004	0.58
0.005	0.57
0.006	0.56
0.007	0.57
0.008	0.41
0.009	0.57
0.01	0.57
0.011	0.42
0.012	0.44
0.013	0.44
0.014	0.54
0.015	0.43
0.016	0.53
0.017	0.55
0.018	0.44
0.019	0.55
0.02	0.49
0.021	0.53
0.022	0.49
0.023	0.45
0.024	0.41
0.025	0.6
0.026	0.54
0.027	0.45
0.028	0.43
0.029	0.46
0.03	0.44
0.031	0.54
0.032	0.59
0.033	0.59
0.034	0.43
0.035	0.51
0.036	0.55
0.037	0.52
0.038	0.44
0.039	0.45
0.04	0.53
0.041	0.45
0.042	0.51
0.043	0.59
0.044	0.43
0.045	0.45
0.046	0.59
0.047	0.42
0.048	0.56
0.049	0.5
0.05	0.54
0.051	0.43
0.052	0.59
0.053	0.4
0.054	0.44
0.055	0.59
0.056	0.57
0.057	0.48
0.058	0.45
0.059	0.4
0.06	0.46
0.061	0.46
0.062	0.42
0.063	0.46
0.064	0.46
0.065	0.49
0.066	0.47
0.067	0.46
0.068	0.56
0.069	0.45
0.07	0.51
0.071	0.42
0.072	0.5
0.073	0.41
0.074	0.55
0.075	0.52
0.076	0.46
0.077	0.51
0.078	0.43
0.079	0.43
0.08	0.41
0.081	0.51
0.082	0.44
0.083	0.56
0.084	0.51
0.085	0.56
0.086	0.53
0.087	0.49
0.088	0.48
0.089	0.58
0.09	0.58
0.091	0.5
0.092	0.49
0.093	0.46
0.094	0.5
0.095	0.45
0.096	0.59
0.097	0.57
0.098	0.51
0.099	0.6
0.1	0.5
0.101	0.6
0.102	0.52
0.103	0.53
0.104	0.46
0.105	0.57
0.106	0.44
0.107	0.59
0.108	0.48
0.109	0.49
0.11	0.55
0.111	0.54
0.112	0.58
0.113	0.55
0.114	0.41
0.115	0.6
0.116	0.41
0.117	0.49
0.118	0.53
0.119	0.6
0.12	0.57
0.121	0.48
0.122	0.45
0.123	0.55
0.124	0.54
0.125	0.49
0.126	0.52
0.127	0.53
0.128	0.51
0.129	0.4
0.13	0.58
0.131	0.49
0.132	0.53
0.133	0.6
0.134	0.59
0.135	0.46
0.136	0.56
0.137	0.55
0.138	0.42
0.139	0.57
0.14	0.46
0.141	0.51
0.142	0.58
0.143	0.4
0.144	0.47
0.145	0.43
0.146	0.43
0.147	0.4
0.148	0.47
0.149	0.55
0.15	0.59
0.151	0.41
0.152	0.41
0.153	0.48
0.154	0.43
0.155	0.54
0.156	0.44
0.157	0.49
0.158	0.47
0.159	0.6
0.16	0.58
0.161	0.47
0.162	0.58
0.163	0.56
0.164	0.45
0.165	0.43
0.166	0.56
0.167	0.46
0.168	0.56
0.169	0.4
0.17	0.46
0.171	0.52
0.172	0.47
0.173	0.47
0.174	0.4
0.175	0.54
0.176	0.52
0.177	0.44
0.178	0.4
0.179	0.55
0.18	0.42
0.181	0.47
0.182	0.56
0.183	0.43
0.184	0.44
0.185	0.58
0.186	0.51
0.187	0.58
0.188	0.45
0.189	0.48
0.19	0.4
0.191	0.46
0.192	0.6
0.193	0.4
0.194	0.49
0.195	0.48
0.196	0.46
0.197	0.41
0.198	0.43
0.199	0.46
0.2	0.59
0.201	0.45
0.202	0.43
0.203	0.6
0.204	0.56
0.205	0.5
0.206	0.6
0.207	0.57
0.208	0.45
0.209	0.58
0.21	0.41
0.211	0.46
0.212	0.53
0.213	0.6
0.214	0.55
0.215	0.54
0.216	0.56
0.217	0.57
0.218	0.46
0.219	0.57
0.22	0.59
0.221	0.4
0.222	0.52
0.223	0.56
0.224	0.56
0.225	0.5
0.226	0.51
0.227	0.58
0.228	0.44
0.229	0.4
0.23	0.59
0.231	0.57
0.232	0.4
0.233	0.57
0.234	0.55
0.235	0.4
0.236	0.45
0.237	0.4
0.238	0.55
0.239	0.44
0.24	0.41
0.241	0.4
0.242	0.49
0.243	0.5
0.244	0.45
0.245	0.46
0.246	0.48
0.247	0.59
0.248	0.57
0.249	0.57
0.25	0.44
0.251	0.41
0.252	0.58
0.253	0.4
0.254	0.54
0.255	0.55
0.256	0.41
0.257	0.41
0.258	0.42
0.259	0.47
0.26	0.5
0.261	0.48
0.262	0.46
0.263	0.59
0.264	0.55
0.265	0.4
0.266	0.41
0.267	0.57
0.268	0.59
0.269	0.4
0.27	0.54
0.271	0.59
